medium,name,prints_available,artist_followers,num_views,material,subject,artist_name,date,num_favs,size,artist_country,price,artist_NoOfArts
Oil,Melting... Melting...,,0,31,Canvas,Body,Zoey Zoric,2016-01-01.000,1,24  H x  20  W x  1.5  in,Canada,$705.00,(11)
Acrylic,Lady Gaga,,35,63,Canvas,Portrait,M O'Neal,2017-01-01.000,3,56  H x  44  W x  1.3  in,United States,$11000.00,(23)
Oil,Schildersverdriet,Prints,102,4230,Canvas,Still Life,Sierk van Meeuwen,2010-01-01.000,68,14.2  H x  15.7  W x  0.8  in,Netherlands,$2750.00,(42)
Oil,Traveling mist over the lake Sinevir,,167,529,Canvas,Landscape,Anastasiia Grygorieva,2016-01-01.000,6,17.7  H x  35.4  W x  0.8  in,Ukraine,$1840.00,(225)
"Acrylic, Gesso",By The Way,Prints,59,570,Canvas,Abstract,Suzanne Stacy,2015-01-01.000,30,36  H x  36  W x  0.5  in,United States,$1175.00,(80)
Acrylic,All the best! [abstract],Prints,252,1987,Canvas,Abstract,Aleksandra Toborowicz,2003-04-09.000,29,39.2  H x  47.2  W x  1  in,Poland,$11000.00,(270)
Oil,Close of Day,Prints,283,658,Wood,Landscape,Owen Normand,2015-01-01.000,25,9.4  H x  7.1  W x  0.1  in,Germany,$445.00,(105)
"Oil, Acrylic",'Morning has broken',,250,383,Canvas,Landscape,Per Anders,2017-01-01.000,57,23.6  H x  27.6  W x  1.2  in,Denmark,$940.00,(106)
"Acrylic, Oil, Latex",The Dreamer in Me,Prints,14,1181,Canvas,Love,Giuseppe Tocco,2009-01-01.000,16,60  H x  48  W x  1.3  in,United States,$2350.00,(8)
Acrylic,Umber (Featured Painting),Prints,638,801,Canvas,Abstract,Lisa Carney,2012-01-01.000,33,34  H x  36  W x  1.5  in,Canada,$1410.00,(163)
Acrylic,Fashionatura I,,113,177,Canvas,Abstract,Marit Geraldine Bostad,2017-01-01.000,5,40.9  H x  33.1  W x  2  in,Norway,$4870.00,(56)
Acrylic,Landscape #1335.5 Sunday.,,165,1020,Wood,Landscape,Andrey Bogoslowsky,2009-06-22.000,19,14  H x  11  W x  1  in,United States,$980.00,(323)
